gene_id	gene_name	H27	H45	H91	H74	H2	H47	H56	H87	FDR	log2FC
ENSG00000179715	PCED1B	5.200618844617556	5.967258689564199	4.5370792815249885	5.409400771889776	5.927175079921223	4.678875237190378	4.891228720786436	4.526618836043377	0.7376832449923119	-0.272614928413776
ENSG00000179899	PHC1P1	3.5016620131807894	3.6072764965216013	1.4677005529063096	3.43166118260313	2.932914966896467	3.414189294703648	3.0161545040241204	3.1235254126078376	0.9050039729420788	0.11962098325506076
ENSG00000179912	R3HDM2	7.405505514700963	6.759594888619756	7.243443605360146	7.052089159593685	6.877166376884001	7.255284868624949	8.252156770319203	7.229943706554236	0.6331225708305929	0.2884796385269599
ENSG00000179941	BBS10	6.447919740568749	6.9845477244670775	6.602276129625875	6.669032443558244	7.441528612895165	7.130589865961675	7.052089159593685	7.215092233374886	0.06538237567862057	0.5338809584013662
ENSG00000180116	C12orf40	2.8600197734034523	2.589221985301837	1.3355755080308873	0	0	3.004116464907261	2.959705621907726	0	0.9136982595593113	-0.20524879498029747
ENSG00000180263	FGD6	5.309926008980274	4.952569755728751	5.455576973998343	5.077414271409557	5.142953142582162	4.608825362041846	5.161971294810725	5.387077862601411	0.7427395413127762	-0.12366483702019515
ENSG00000180481	GLIPR1L2	3.616612857586388	3.3023687729824074	2.73579276555013	3.657729513541807	3.2527024974112995	3.394316299725408	3.352728162599587	3.2611042808617943	0.9695637537721712	-0.012913167265660608
ENSG00000180574	EIF2S3B	3.715038575824949	3.4576708829311307	4.280928224047672	3.903621004579601	5.064826285080828	3.6530170395195456	4.039290476574593	3.959733774452846	0.5890421409019458	0.33990222206111476
ENSG00000180806	HOXC9	0	2.333202804131702	3.8478097197584367	0	0	3.0102173957808245	0	0	0.7259929554966451	-0.7926987820273287
ENSG00000180881	CAPS2	6.568663364304537	6.635175120496996	5.825662241494567	6.101385830740673	6.482225976553974	5.55679925408041	5.152992973437678	5.370568747888045	0.29057464242431696	-0.6420749012691669
ENSG00000181234	TMEM132C	0	2.229500020252991	1.8323180367294802	2.7747755970470935	0	2.8653646607984595	0	2.9148909824104168	0.8922111438235681	-0.26408450270517214
ENSG00000181418	DDN	0	0	2.4970454264446316	0	0	3.014281303857352	2.782519462603917	0	0.670409312395445	0.8249388350041593
ENSG00000181852	RNF41	8.252156770319203	9.157859191591776	9.247551187609469	9.214704143609412	8.954046113579302	9.157859191591776	8.872095927938885	9.083636608418844	0.9129895499753498	0.04884163709973777
ENSG00000181929	PRKAG1	8.06754245933846	8.800308010731236	8.714956366175212	8.506700679545258	8.472593999783719	8.676446935197664	8.583680220476653	8.557656213869182	0.8803399152599493	0.05021746338426247
ENSG00000182196	ARL6IP4	9.927907088988995	10.369164799117565	9.184081675831118	10.52915684207664	9.64014440530449	9.477208494389131	9.28513376186248	8.99089783269366	0.25543605732877533	-0.6542314779411402
